INC 0.3 | DOCTRINES AAA | HOLD 1 | guerres 40821 | décisives 0.94 | winrate(déc) A0=0.334 A1=0.334 A2=0.333 | 2COLL 0.94 (durée 14.2) | ÉLIM 0.00 (durée 14.5) | vainq terr 0.45 | CIVILS morts 0.294 réfug 0.61 surv 0.706 | vainq ctrl pop 0.57
INC 0.9 | DOCTRINES ZZZ | HOLD 1 | guerres 112384 | décisives 1.00 | winrate(déc) Z0=0.340 Z1=0.329 Z2=0.331 | 2COLL 0.98 (durée 7.0) | ÉLIM 0.02 (durée 8.6) | vainq terr 0.45 | CIVILS morts 0.185 réfug 0.43 surv 0.815 | vainq ctrl pop 0.57
INC 0.3 | DOCTRINES ZZZ | HOLD 3 | guerres 51444 | décisives 0.98 | winrate(déc) Z0=0.334 Z1=0.330 Z2=0.336 | 2COLL 0.94 (durée 14.0) | ÉLIM 0.05 (durée 13.8) | vainq terr 0.60 | CIVILS morts 0.292 réfug 0.57 surv 0.708 | vainq ctrl pop 0.62
INC 0.6 | DOCTRINES ZZZ | HOLD 3 | guerres 57743 | décisives 0.97 | winrate(déc) Z0=0.334 Z1=0.331 Z2=0.335 | 2COLL 0.85 (durée 11.5) | ÉLIM 0.12 (durée 10.6) | vainq terr 0.59 | CIVILS morts 0.268 réfug 0.57 surv 0.732 | vainq ctrl pop 0.62
INC 0.9 | DOCTRINES ZZZ | HOLD 3 | guerres 73054 | décisives 0.99 | winrate(déc) Z0=0.343 Z1=0.330 Z2=0.327 | 2COLL 0.84 (durée 10.3) | ÉLIM 0.15 (durée 9.1) | vainq terr 0.60 | CIVILS morts 0.263 réfug 0.54 surv 0.737 | vainq ctrl pop 0.66
INC 0.3 | DOCTRINES ZZZ | HOLD 5 | guerres 35557 | décisives 0.93 | winrate(déc) Z0=0.335 Z1=0.329 Z2=0.336 | 2COLL 0.74 (durée 16.3) | ÉLIM 0.19 (durée 15.4) | vainq terr 0.65 | CIVILS morts 0.325 réfug 0.61 surv 0.675 | vainq ctrl pop 0.67
INC 0.6 | DOCTRINES ZZZ | HOLD 5 | guerres 41648 | décisives 0.94 | winrate(déc) Z0=0.333 Z1=0.329 Z2=0.338 | 2COLL 0.63 (durée 14.2) | ÉLIM 0.31 (durée 12.8) | vainq terr 0.62 | CIVILS morts 0.299 réfug 0.62 surv 0.701 | vainq ctrl pop 0.66
INC 0.9 | DOCTRINES ZZZ | HOLD 5 | guerres 61356 | décisives 0.99 | winrate(déc) Z0=0.341 Z1=0.331 Z2=0.327 | 2COLL 0.48 (durée 12.1) | ÉLIM 0.50 (durée 11.2) | vainq terr 0.65 | CIVILS morts 0.292 réfug 0.58 surv 0.708 | vainq ctrl pop 0.74
INC 0.3 | DOCTRINES ZZZ | HOLD 10 | guerres 30135 | décisives 0.92 | winrate(déc) Z0=0.333 Z1=0.330 Z2=0.337 | 2COLL 0.45 (durée 22.0) | ÉLIM 0.47 (durée 17.1) | vainq terr 0.68 | CIVILS morts 0.354 réfug 0.66 surv 0.646 | vainq ctrl pop 0.76
INC 0.6 | DOCTRINES ZZZ | HOLD 10 | guerres 35709 | décisives 0.93 | winrate(déc) Z0=0.334 Z1=0.331 Z2=0.335 | 2COLL 0.34 (durée 18.7) | ÉLIM 0.60 (durée 15.1) | vainq terr 0.66 | CIVILS morts 0.325 réfug 0.66 surv 0.675 | vainq ctrl pop 0.75
INC 0.9 | DOCTRINES ZZZ | HOLD 10 | guerres 54492 | décisives 0.99 | winrate(déc) Z0=0.343 Z1=0.330 Z2=0.327 | 2COLL 0.19 (durée 17.1) | ÉLIM 0.79 (durée 12.3) | vainq terr 0.68 | CIVILS morts 0.310 réfug 0.61 surv 0.690 | vainq ctrl pop 0.81
INC 0.3 | DOCTRINES AEZ | HOLD 1 | guerres 60715 | décisives 1.00 | winrate(déc) A0=0.598 E1=0.312 Z2=0.089 | 2COLL 1.00 (durée 13.1) | ÉLIM 0.00 (durée 15.5) | vainq terr 0.44 | CIVILS morts 0.319 réfug 0.56 surv 0.681 | vainq ctrl pop 0.59
INC 0.6 | DOCTRINES AEZ | HOLD 1 | guerres 86232 | décisives 1.00 | winrate(déc) A0=0.548 E1=0.363 Z2=0.090 | 2COLL 1.00 (durée 9.3) | ÉLIM 0.00 (durée 21.0) | vainq terr 0.46 | CIVILS morts 0.267 réfug 0.52 surv 0.733 | vainq ctrl pop 0.57
INC 0.9 | DOCTRINES AEZ | HOLD 1 | guerres 114193 | décisives 1.00 | winrate(déc) A0=0.601 E1=0.295 Z2=0.104 | 2COLL 1.00 (durée 7.1) | ÉLIM 0.00 (durée 9.9) | vainq terr 0.46 | CIVILS morts 0.236 réfug 0.46 surv 0.764 | vainq ctrl pop 0.60
INC 0.3 | DOCTRINES AEZ | HOLD 3 | guerres 49487 | décisives 1.00 | winrate(déc) A0=0.618 E1=0.287 Z2=0.095 | 2COLL 0.85 (durée 15.4) | ÉLIM 0.15 (durée 16.2) | vainq terr 0.61 | CIVILS morts 0.378 réfug 0.62 surv 0.622 | vainq ctrl pop 0.68
INC 0.6 | DOCTRINES AEZ | HOLD 3 | guerres 63741 | décisives 1.00 | winrate(déc) A0=0.556 E1=0.370 Z2=0.074 | 2COLL 0.87 (durée 12.0) | ÉLIM 0.12 (durée 12.6) | vainq terr 0.62 | CIVILS morts 0.334 réfug 0.62 surv 0.666 | vainq ctrl pop 0.67
INC 0.9 | DOCTRINES AEZ | HOLD 3 | guerres 82474 | décisives 1.00 | winrate(déc) A0=0.631 E1=0.304 Z2=0.065 | 2COLL 0.82 (durée 9.4) | ÉLIM 0.18 (durée 9.3) | vainq terr 0.62 | CIVILS morts 0.295 réfug 0.55 surv 0.705 | vainq ctrl pop 0.69
INC 0.3 | DOCTRINES AEZ | HOLD 5 | guerres 44476 | décisives 0.99 | winrate(déc) A0=0.652 E1=0.253 Z2=0.095 | 2COLL 0.52 (durée 17.3) | ÉLIM 0.48 (durée 16.8) | vainq terr 0.66 | CIVILS morts 0.404 réfug 0.65 surv 0.596 | vainq ctrl pop 0.77
INC 0.6 | DOCTRINES AEZ | HOLD 5 | guerres 54706 | décisives 0.99 | winrate(déc) A0=0.580 E1=0.366 Z2=0.053 | 2COLL 0.57 (durée 14.3) | ÉLIM 0.42 (durée 13.0) | vainq terr 0.67 | CIVILS morts 0.365 réfug 0.66 surv 0.635 | vainq ctrl pop 0.77
INC 0.9 | DOCTRINES AEZ | HOLD 5 | guerres 72210 | décisives 1.00 | winrate(déc) A0=0.653 E1=0.280 Z2=0.067 | 2COLL 0.46 (durée 11.6) | ÉLIM 0.54 (durée 10.0) | vainq terr 0.69 | CIVILS morts 0.330 réfug 0.60 surv 0.670 | vainq ctrl pop 0.82
INC 0.3 | DOCTRINES AEZ | HOLD 10 | guerres 39652 | décisives 0.99 | winrate(déc) A0=0.684 E1=0.222 Z2=0.095 | 2COLL 0.21 (durée 21.8) | ÉLIM 0.77 (durée 17.8) | vainq terr 0.68 | CIVILS morts 0.423 réfug 0.68 surv 0.577 | vainq ctrl pop 0.85
INC 0.6 | DOCTRINES AEZ | HOLD 10 | guerres 48632 | décisives 0.99 | winrate(déc) A0=0.599 E1=0.353 Z2=0.049 | 2COLL 0.20 (durée 19.4) | ÉLIM 0.79 (durée 14.2) | vainq terr 0.70 | CIVILS morts 0.385 réfug 0.70 surv 0.615 | vainq ctrl pop 0.84
INC 0.9 | DOCTRINES AEZ | HOLD 10 | guerres 66180 | décisives 0.99 | winrate(déc) A0=0.663 E1=0.268 Z2=0.069 | 2COLL 0.06 (durée 17.2) | ÉLIM 0.93 (durée 11.1) | vainq terr 0.71 | CIVILS morts 0.346 réfug 0.62 surv 0.654 | vainq ctrl pop 0.89
